Metabolomic Feature,Putative Chemical Class
C18-neg_Cluster_0714,#N/A
C18-neg_Cluster_0727,#N/A
C18-neg_Cluster_0762,Sesquiterpenoids
C18-neg_Cluster_0773,Sulfated steroids
C18-neg_Cluster_0796,Piperidines
C18-neg_Cluster_0802,#N/A
C18-neg_Cluster_0809,Stilbenes
C18-neg_Cluster_0813,Hydroxybenzoic acid derivatives
C18-neg_Cluster_0815,Hydroxybenzoic acid derivatives
C18-neg_Cluster_0837,#N/A
C18-neg_Cluster_0838,#N/A
C18-neg_Cluster_0848,Sulfated steroids
C18-neg_Cluster_0859,Indolines
C18-neg_Cluster_0864,#N/A
C18-neg_Cluster_0872,#N/A
C18-neg_Cluster_0873,#N/A
C18-neg_Cluster_0875,#N/A
C18-neg_Cluster_0904,#N/A
C18-neg_Cluster_0906,#N/A
C18-neg_Cluster_0956,Benzidines
C18-neg_Cluster_0958,#N/A
C18-neg_Cluster_0996,#N/A
C18-neg_Cluster_1011,#N/A
C18-neg_Cluster_1016,Acyl carnitines
C18-neg_Cluster_1031,Beta-diketones
C18-neg_Cluster_1036,Alpha amino acids
C18-neg_Cluster_1052,Alanine and derivatives
C18-neg_Cluster_1069,"Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids"
C18-neg_Cluster_1090,#N/A
C18-neg_Cluster_1092,#N/A
C18-neg_Cluster_1102,Hydroxy acids and derivatives
C18-neg_Cluster_1105,Hydroxy acids and derivatives
C18-neg_Cluster_1118,#N/A
C18-neg_Cluster_1126,2-acyl-sn-glycero-3-phosphoethanolamines
C18-neg_Cluster_1130,#N/A
C18-neg_Cluster_1133,#N/A
C18-neg_Cluster_1143,#N/A
C18-neg_Cluster_1150,Ergostane steroids
C18-neg_Cluster_1169,"Amino acids, peptides, and analogues"
C18-neg_Cluster_1173,#N/A
C18-neg_Cluster_1211,"Bile acids, alcohols and derivatives"
C18-neg_Cluster_1215,#N/A
C18-neg_Cluster_1229,#N/A
C18-neg_Cluster_1239,Glycosyl compounds
C18-neg_Cluster_1240,"5,10-cycloaromadendrane sesquiterpenoids"
C18-neg_Cluster_1248,#N/A
C18-neg_Cluster_1260,#N/A
C18-neg_Cluster_1274,Triterpenoids
C18-neg_Cluster_1303,Stigmastanes and derivatives
C18-neg_Cluster_1307,#N/A
C18-neg_Cluster_1328,Cholesterols and derivatives
C18-neg_Cluster_1337,#N/A
C18-neg_Cluster_1339,#N/A
C18-neg_Cluster_1348,#N/A
C18-neg_Cluster_1350,#N/A
C18-neg_Cluster_1357,Fatty acyl glycosides of mono- and disaccharides
C18-neg_Cluster_1358,Fatty acyl glycosides of mono- and disaccharides
C18-neg_Cluster_1359,Fatty acyl glycosides of mono- and disaccharides
C18-neg_Cluster_1364,1-acylglycerol-3-phosphates
C18-neg_Cluster_1366,Oligopeptides
C18-neg_Cluster_1368,Triterpenoids
C18-neg_Cluster_1373,#N/A
C18-neg_Cluster_1374,#N/A
C18-neg_Cluster_1408,"Tetrahydroxy bile acids, alcohols and derivatives"
C18-neg_Cluster_1420,Brassinolides and derivatives
C18-neg_Cluster_1428,"Hydroxy bile acids, alcohols and derivatives"
C18-neg_Cluster_1431,Brassinolides and derivatives
C18-neg_Cluster_1440,1-acyl-sn-glycero-3-phosphoethanolamines
C18-neg_Cluster_1448,#N/A
C18-neg_Cluster_1453,#N/A
C18-neg_Cluster_1459,#N/A
C18-neg_Cluster_1460,#N/A
C18-neg_Cluster_1461,"Tetrahydroxy bile acids, alcohols and derivatives"
C18-neg_Cluster_1472,#N/A
C18-neg_Cluster_1500,#N/A
C18-neg_Cluster_1519,#N/A
C18-neg_Cluster_1520,#N/A
C18-neg_Cluster_1526,Brassinolides and derivatives
C18-neg_Cluster_1527,Brassinolides and derivatives
C18-neg_Cluster_1534,#N/A
C18-neg_Cluster_1551,#N/A
C18-neg_Cluster_1560,#N/A
C18-neg_Cluster_1567,#N/A
C18-neg_Cluster_1570,#N/A
C18-neg_Cluster_1582,#N/A
C18-neg_Cluster_1592,Triterpenoids
C18-neg_Cluster_1593,Triterpenoids
C18-neg_Cluster_1595,Triterpenoids
C18-neg_Cluster_1603,Triterpenoids
C18-neg_Cluster_1611,#N/A
C18-neg_Cluster_1618,#N/A
C18-neg_Cluster_1619,#N/A
C18-neg_Cluster_1624,#N/A
C18-neg_Cluster_1625,#N/A
C18-neg_Cluster_1646,#N/A
C18-neg_Cluster_1656,#N/A
C18-neg_Cluster_1659,Triterpenoids
C18-neg_Cluster_1662,#N/A
C18-neg_Cluster_1663,#N/A
C18-neg_Cluster_1668,#N/A
C18-neg_Cluster_1671,Phenylpropanes
C18-neg_Cluster_1706,#N/A
C18-neg_Cluster_1745,#N/A
C18-neg_Cluster_1760,#N/A
C18-neg_Cluster_1761,#N/A
C18-neg_Cluster_1766,Triterpenoids
C18-neg_Cluster_1768,1-acyl-sn-glycero-3-phosphocholines
C18-neg_Cluster_1776,#N/A
C18-neg_Cluster_1780,#N/A
C18-neg_Cluster_1785,#N/A
C18-neg_Cluster_1795,#N/A
C18-neg_Cluster_1796,1-(1Z-alkenyl)-glycero-3-phosphocholines
C18-neg_Cluster_1801,#N/A
C18-neg_Cluster_1805,#N/A
C18-neg_Cluster_1840,Long-chain fatty acids
C18-neg_Cluster_1854,"4,6-disubstituted 2-deoxystreptamines"
C18-neg_Cluster_1861,Steroidal glycosides
C18-neg_Cluster_1865,#N/A
C18-neg_Cluster_1872,Sphingolipids
C18-neg_Cluster_1899,#N/A
C18-neg_Cluster_1900,#N/A
C18-neg_Cluster_1912,Steroid esters
C18-neg_Cluster_1928,Terpene lactones
C18-neg_Cluster_1933,#N/A
C18-neg_Cluster_1944,#N/A
C18-neg_Cluster_1947,Steroidal saponins
C18-neg_Cluster_1957,"1,3-diacylglycerols"
C18-neg_Cluster_1962,#N/A
C18-neg_Cluster_1964,#N/A
C18-neg_Cluster_1969,"1,3-diacylglycerols"
C18-neg_Cluster_1970,#N/A
C18-neg_Cluster_1978,Oxosteroids
C18-neg_Cluster_1992,Tetrapyrroles and derivatives
C18-neg_Cluster_1993,Tetrapyrroles and derivatives
C18-neg_Cluster_1998,Coumarins and derivatives
C18-neg_Cluster_2002,Tetrapyrroles and derivatives
C18-neg_Cluster_2005,Tetrapyrroles and derivatives
C18-neg_Cluster_2019,Benzopyrans
C18-neg_Cluster_2020,Tetrapyrroles and derivatives
C18-neg_Cluster_2039,#N/A
C18-neg_Cluster_2052,#N/A
C18-neg_Cluster_2060,#N/A
C18-neg_Cluster_2064,#N/A
C18-neg_Cluster_2071,#N/A
C18-neg_Cluster_2075,#N/A
C18-neg_Cluster_2082,#N/A
C18-neg_Cluster_2084,Benzopyrans
C18-neg_Cluster_2090,#N/A
C18-neg_Cluster_2103,#N/A
C18-neg_Cluster_2119,#N/A
C18-neg_Cluster_2140,#N/A
C18-neg_Cluster_2154,#N/A
C8-pos_Cluster_0016,Thiazoles
C8-pos_Cluster_0018,Thiazoles
C8-pos_Cluster_0049,#N/A
C8-pos_Cluster_0050,#N/A
C8-pos_Cluster_0056,#N/A
C8-pos_Cluster_0058,Thiazoles
C8-pos_Cluster_0060,#N/A
C8-pos_Cluster_0065,Thiazoles
C8-pos_Cluster_0092,Ketones
C8-pos_Cluster_0129,#N/A
C8-pos_Cluster_0159,Lineolic acids and derivatives
C8-pos_Cluster_0167,#N/A
C8-pos_Cluster_0181,Androgens and derivatives
C8-pos_Cluster_0204,Long-chain fatty acids
C8-pos_Cluster_0217,#N/A
C8-pos_Cluster_0220,#N/A
C8-pos_Cluster_0234,#N/A
C8-pos_Cluster_0256,#N/A
C8-pos_Cluster_0258,#N/A
C8-pos_Cluster_0267,#N/A
C8-pos_Cluster_0285,#N/A
C8-pos_Cluster_0287,1-monoacylglycerols
C8-pos_Cluster_0289,Acyclic diterpenoids
C8-pos_Cluster_0297,#N/A
C8-pos_Cluster_0312,#N/A
C8-pos_Cluster_0344,Piperidines
C8-pos_Cluster_0346,Organonitrogen compounds
C8-pos_Cluster_0348,Organonitrogen compounds
C8-pos_Cluster_0363,Cholesteryl esters
C8-pos_Cluster_0370,Phenol ethers
C8-pos_Cluster_0372,#N/A
C8-pos_Cluster_0377,Very long-chain fatty acids
C8-pos_Cluster_0389,Alkyl-phenylketones
C8-pos_Cluster_0409,#N/A
C8-pos_Cluster_0426,#N/A
C8-pos_Cluster_0439,#N/A
C8-pos_Cluster_0453,#N/A
C8-pos_Cluster_0460,Long-chain fatty acids
C8-pos_Cluster_0489,#N/A
C8-pos_Cluster_0494,#N/A
C8-pos_Cluster_0498,Sphingolipids
C8-pos_Cluster_0518,#N/A
C8-pos_Cluster_0532,Solanidines and derivatives
C8-pos_Cluster_0549,Sesquiterpenoids
C8-pos_Cluster_0553,#N/A
C8-pos_Cluster_0591,#N/A
C8-pos_Cluster_0596,Sphingolipids
C8-pos_Cluster_0597,#N/A
C8-pos_Cluster_0638,Stigmastanes and derivatives
C8-pos_Cluster_0641,#N/A
C8-pos_Cluster_0642,Stigmastanes and derivatives
C8-pos_Cluster_0649,Cholesterols and derivatives
C8-pos_Cluster_0657,#N/A
C8-pos_Cluster_0668,Triterpenoids
C8-pos_Cluster_0693,#N/A
C8-pos_Cluster_0695,Kaurane diterpenoids
C8-pos_Cluster_0696,Kaurane diterpenoids
C8-pos_Cluster_0697,Tocotrienols
C8-pos_Cluster_0704,#N/A
C8-pos_Cluster_0711,#N/A
C8-pos_Cluster_0712,Stigmastanes and derivatives
C8-pos_Cluster_0721,#N/A
C8-pos_Cluster_0726,"Dihydroxy bile acids, alcohols and derivatives"
C8-pos_Cluster_0729,#N/A
C8-pos_Cluster_0733,Triterpenoids
C8-pos_Cluster_0734,Phosphatidylethanolamines
C8-pos_Cluster_0735,Very long-chain fatty acids
C8-pos_Cluster_0748,#N/A
C8-pos_Cluster_0756,#N/A
C8-pos_Cluster_0785,#N/A
C8-pos_Cluster_0791,#N/A
C8-pos_Cluster_0802,#N/A
C8-pos_Cluster_0810,#N/A
C8-pos_Cluster_0820,Triterpenoids
C8-pos_Cluster_0821,Triterpenoids
C8-pos_Cluster_0841,Menthane monoterpenoids
C8-pos_Cluster_0842,Triterpenoids
C8-pos_Cluster_0846,Triterpenoids
C8-pos_Cluster_0855,#N/A
C8-pos_Cluster_0863,Triterpenoids
C8-pos_Cluster_0867,Fatty acids and conjugates
C8-pos_Cluster_0877,Sesquiterpenoids
C8-pos_Cluster_0887,#N/A
C8-pos_Cluster_0907,#N/A
C8-pos_Cluster_0914,#N/A
C8-pos_Cluster_0943,Pyrrolidines
C8-pos_Cluster_0956,#N/A
C8-pos_Cluster_0959,#N/A
C8-pos_Cluster_0962,#N/A
C8-pos_Cluster_0980,#N/A
C8-pos_Cluster_0981,Fatty acid esters
C8-pos_Cluster_0986,#N/A
C8-pos_Cluster_1027,#N/A
C8-pos_Cluster_1031,#N/A
C8-pos_Cluster_1032,#N/A
C8-pos_Cluster_1033,#N/A
C8-pos_Cluster_1034,Annonaceous acetogenins
C8-pos_Cluster_1036,#N/A
C8-pos_Cluster_1041,#N/A
C8-pos_Cluster_1059,Sphingolipids
C8-pos_Cluster_1066,Long-chain fatty acids
C8-pos_Cluster_1076,Annonaceous acetogenins
C8-pos_Cluster_1085,#N/A
C8-pos_Cluster_1092,#N/A
C8-pos_Cluster_1094,#N/A
C8-pos_Cluster_1095,#N/A
C8-pos_Cluster_1106,Stigmastanes and derivatives
C8-pos_Cluster_1110,#N/A
C8-pos_Cluster_1121,"1,3-diacylglycerols"
C8-pos_Cluster_1122,#N/A
C8-pos_Cluster_1131,#N/A
C8-pos_Cluster_1148,Tetrapyrroles and derivatives
C8-pos_Cluster_1150,Long-chain fatty alcohols
C8-pos_Cluster_1154,#N/A
C8-pos_Cluster_1167,Cinnamic acids and derivatives
C8-pos_Cluster_1168,Cinnamic acids and derivatives
C8-pos_Cluster_1176,#N/A
C8-pos_Cluster_1182,Tetrapyrroles and derivatives
C8-pos_Cluster_1190,#N/A
C8-pos_Cluster_1200,#N/A
C8-pos_Cluster_1205,2-polyprenyl-6-methoxyphenols
C8-pos_Cluster_1211,#N/A
C8-pos_Cluster_1237,#N/A
C8-pos_Cluster_1239,#N/A
C8-pos_Cluster_1240,#N/A
C8-pos_Cluster_1243,#N/A
C8-pos_Cluster_1260,Alpha amino acids
C8-pos_Cluster_1261,#N/A
C8-pos_Cluster_1263,#N/A
C8-pos_Cluster_1265,#N/A
C8-pos_Cluster_1269,#N/A
C8-pos_Cluster_1270,#N/A
C8-pos_Cluster_1294,#N/A
C8-pos_Cluster_1295,Lineolic acids and derivatives
C8-pos_Cluster_1297,#N/A
C8-pos_Cluster_1298,#N/A
C8-pos_Cluster_1299,#N/A
C8-pos_Cluster_1309,#N/A
C8-pos_Cluster_1315,#N/A
C8-pos_Cluster_1317,#N/A
C8-pos_Cluster_1321,#N/A
C8-pos_Cluster_1337,"1,3-diacylglycerols"
C8-pos_Cluster_1338,#N/A
C8-pos_Cluster_1339,#N/A
C8-pos_Cluster_1350,#N/A
C8-pos_Cluster_1354,Other hydroxyeicosapolyenoic acids
C8-pos_Cluster_1357,#N/A
C8-pos_Cluster_1372,#N/A
C8-pos_Cluster_1385,#N/A
C8-pos_Cluster_1410,#N/A
C8-pos_Cluster_1411,#N/A
C8-pos_Cluster_1417,#N/A
C8-pos_Cluster_1418,Terpene glycosides
C8-pos_Cluster_1420,#N/A
C8-pos_Cluster_1446,#N/A
C8-pos_Cluster_1447,#N/A
C8-pos_Cluster_1450,#N/A
C8-pos_Cluster_1461,"1,2-diacylglycerols"
C8-pos_Cluster_1463,Cholesteryl esters
C8-pos_Cluster_1488,"1,3-diacylglycerols"
C8-pos_Cluster_1491,#N/A
C8-pos_Cluster_1496,#N/A
C8-pos_Cluster_1500,#N/A
C8-pos_Cluster_1511,#N/A
C8-pos_Cluster_1523,#N/A
C8-pos_Cluster_1530,#N/A
C8-pos_Cluster_1547,#N/A
C8-pos_Cluster_1551,"1,3-diacylglycerols"
C8-pos_Cluster_1557,#N/A
C8-pos_Cluster_1562,#N/A
C8-pos_Cluster_1563,#N/A
C8-pos_Cluster_1586,#N/A
C8-pos_Cluster_1587,"1,3-diacylglycerols"
C8-pos_Cluster_1594,#N/A
C8-pos_Cluster_1595,#N/A
C8-pos_Cluster_1628,#N/A
C8-pos_Cluster_1641,#N/A
C8-pos_Cluster_1668,#N/A
C8-pos_Cluster_1675,#N/A
C8-pos_Cluster_1682,#N/A
C8-pos_Cluster_1701,Sphingolipids
C8-pos_Cluster_1704,#N/A
C8-pos_Cluster_1719,#N/A
C8-pos_Cluster_1721,#N/A
C8-pos_Cluster_1732,#N/A
C8-pos_Cluster_1733,#N/A
C8-pos_Cluster_1734,Polyprenols
C8-pos_Cluster_1743,#N/A
C8-pos_Cluster_1757,#N/A
C8-pos_Cluster_1771,Phosphatidylcholines
C8-pos_Cluster_1772,#N/A
C8-pos_Cluster_1785,#N/A
C8-pos_Cluster_1793,#N/A
C8-pos_Cluster_1804,#N/A
C8-pos_Cluster_1811,Phosphatidylcholines
C8-pos_Cluster_1814,#N/A
C8-pos_Cluster_1816,#N/A
C8-pos_Cluster_1839,#N/A
C8-pos_Cluster_1844,"1-alkyl,2-acylglycero-3-phosphocholines"
C8-pos_Cluster_1845,#N/A
C8-pos_Cluster_1852,#N/A
C8-pos_Cluster_1855,"1-acyl,2-(1Z-alkenyl)-glycerophosphocholines"
C8-pos_Cluster_1860,#N/A
C8-pos_Cluster_1867,#N/A
C8-pos_Cluster_1868,#N/A
C8-pos_Cluster_1876,3-hydroxysteroids
C8-pos_Cluster_1890,#N/A
C8-pos_Cluster_1895,Sphingolipids
C8-pos_Cluster_1904,#N/A
C8-pos_Cluster_1911,#N/A
C8-pos_Cluster_1927,#N/A
C8-pos_Cluster_1930,"1,2-diacylglycerols"
C8-pos_Cluster_1931,Sphingolipids
C8-pos_Cluster_1934,#N/A
C8-pos_Cluster_1940,#N/A
C8-pos_Cluster_1942,#N/A
C8-pos_Cluster_1954,#N/A
C8-pos_Cluster_1956,Phosphatidylcholines
C8-pos_Cluster_1960,Sphingolipids
C8-pos_Cluster_1961,#N/A
C8-pos_Cluster_1966,#N/A
C8-pos_Cluster_1972,Sphingolipids
C8-pos_Cluster_1979,#N/A
C8-pos_Cluster_1985,#N/A
C8-pos_Cluster_1996,#N/A
C8-pos_Cluster_2001,#N/A
C8-pos_Cluster_2023,#N/A
C8-pos_Cluster_2051,#N/A
C8-pos_Cluster_2061,"1-alkyl,2-acylglycero-3-phosphocholines"
C8-pos_Cluster_2063,#N/A
C8-pos_Cluster_2078,#N/A
C8-pos_Cluster_2079,#N/A
C8-pos_Cluster_2089,#N/A
C8-pos_Cluster_2105,Ubiquinones
C8-pos_Cluster_2107,Sphingolipids
C8-pos_Cluster_2143,Phosphatidylcholines
C8-pos_Cluster_2151,#N/A
C8-pos_Cluster_2153,"1-alkyl,2-acylglycero-3-phosphocholines"
C8-pos_Cluster_2155,#N/A
C8-pos_Cluster_2165,"1-alkyl,2-acylglycero-3-phosphocholines"
C8-pos_Cluster_2166,#N/A
C8-pos_Cluster_2171,Triterpenoids
C8-pos_Cluster_2173,Phosphatidylinositols
C8-pos_Cluster_2185,#N/A
C8-pos_Cluster_2188,#N/A
C8-pos_Cluster_2204,#N/A
C8-pos_Cluster_2272,#N/A
C8-pos_Cluster_2291,#N/A
C8-pos_Cluster_2292,#N/A
C8-pos_Cluster_2294,Triacylglycerols
C8-pos_Cluster_2315,#N/A
C8-pos_Cluster_2334,#N/A
C8-pos_Cluster_2343,#N/A
C8-pos_Cluster_2349,#N/A
C8-pos_Cluster_2368,#N/A
C8-pos_Cluster_2378,#N/A
C8-pos_Cluster_2409,#N/A
C8-pos_Cluster_2418,#N/A
HILIC-neg_Cluster_0041,Aryl alkyl ketones
HILIC-neg_Cluster_0050,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0053,Keto acids and derivatives
HILIC-neg_Cluster_0065,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0071,Organic carbonic acids and derivatives
HILIC-neg_Cluster_0089,Fatty acid esters
HILIC-neg_Cluster_0127,Benzoic acids and derivatives
HILIC-neg_Cluster_0134,Pyridines and derivatives
HILIC-neg_Cluster_0148,#N/A
HILIC-neg_Cluster_0170,Hydroxy fatty acids
HILIC-neg_Cluster_0177,Pentoses
HILIC-neg_Cluster_0198,#N/A
HILIC-neg_Cluster_0205,#N/A
HILIC-neg_Cluster_0209,Furanones
HILIC-neg_Cluster_0214,Fatty acid esters
HILIC-neg_Cluster_0219,Medium-chain fatty acids
HILIC-neg_Cluster_0224,Hydroxy fatty acids
HILIC-neg_Cluster_0240,Fatty alcohols
HILIC-neg_Cluster_0251,Alpha amino acids
HILIC-neg_Cluster_0252,M-methoxybenzoic acids and derivatives
HILIC-neg_Cluster_0256,#N/A
HILIC-neg_Cluster_0282,#N/A
HILIC-neg_Cluster_0287,Medium-chain fatty acids
HILIC-neg_Cluster_0293,#N/A
HILIC-neg_Cluster_0301,Thiocarboxylic acids and derivatives
HILIC-neg_Cluster_0314,Aldehydes
HILIC-neg_Cluster_0323,Pyridines and derivatives
HILIC-neg_Cluster_0325,Keto acids and derivatives
HILIC-neg_Cluster_0333,Pyridines and derivatives
HILIC-neg_Cluster_0334,Pyridines and derivatives
HILIC-neg_Cluster_0353,Dipeptides
HILIC-neg_Cluster_0354,Dipeptides
HILIC-neg_Cluster_0375,Keto acids and derivatives
HILIC-neg_Cluster_0378,Hydroxy acids and derivatives
HILIC-neg_Cluster_0385,Tropane alkaloids
HILIC-neg_Cluster_0397,Glucuronic acid derivatives
HILIC-neg_Cluster_0408,#N/A
HILIC-neg_Cluster_0415,#N/A
HILIC-neg_Cluster_0416,#N/A
HILIC-neg_Cluster_0423,Alpha amino acids
HILIC-neg_Cluster_0426,#N/A
HILIC-neg_Cluster_0437,#N/A
HILIC-neg_Cluster_0447,Indoles and derivatives
HILIC-neg_Cluster_0453,#N/A
HILIC-neg_Cluster_0456,#N/A
HILIC-neg_Cluster_0459,Hydroxy acids and derivatives
HILIC-neg_Cluster_0464,Azoles
HILIC-neg_Cluster_0487,Phenols
HILIC-neg_Cluster_0493,Tyrosine and derivatives
HILIC-neg_Cluster_0511,Azoles
HILIC-neg_Cluster_0519,Fatty acid esters
HILIC-neg_Cluster_0524,#N/A
HILIC-neg_Cluster_0535,Organic sulfuric acids and derivatives
HILIC-neg_Cluster_0540,#N/A
HILIC-neg_Cluster_0542,#N/A
HILIC-neg_Cluster_0560,O-glucuronides
HILIC-neg_Cluster_0570,#N/A
HILIC-neg_Cluster_0571,Phenols
HILIC-neg_Cluster_0578,#N/A
HILIC-neg_Cluster_0585,Dicarboxylic acids and derivatives
HILIC-neg_Cluster_0589,#N/A
HILIC-neg_Cluster_0614,#N/A
HILIC-neg_Cluster_0615,#N/A
HILIC-neg_Cluster_0624,Fatty acid esters
HILIC-neg_Cluster_0635,Alkyl-phenylketones
HILIC-neg_Cluster_0636,Glutamine and derivatives
HILIC-neg_Cluster_0644,Acyl carnitines
HILIC-neg_Cluster_0646,Tricarboxylic acids and derivatives
HILIC-neg_Cluster_0650,#N/A
HILIC-neg_Cluster_0674,#N/A
HILIC-neg_Cluster_0684,#N/A
HILIC-neg_Cluster_0688,Anisoles
HILIC-neg_Cluster_0704,Benzoic acids and derivatives
HILIC-neg_Cluster_0711,Fatty acids and conjugates
HILIC-neg_Cluster_0713,#N/A
HILIC-neg_Cluster_0724,Tricarboxylic acids and derivatives
HILIC-neg_Cluster_0725,Peptidomimetics
HILIC-neg_Cluster_0730,Fatty acyl glycosides of mono- and disaccharides
HILIC-neg_Cluster_0759,#N/A
HILIC-neg_Cluster_0766,#N/A
HILIC-neg_Cluster_0769,Monoterpenoids
HILIC-neg_Cluster_0776,Pyrimidine nucleosides
HILIC-neg_Cluster_0804,Peptidomimetics
HILIC-neg_Cluster_0808,Fatty acids and conjugates
HILIC-neg_Cluster_0810,#N/A
HILIC-neg_Cluster_0816,Cinnamic acids and derivatives
HILIC-neg_Cluster_0823,p-Hydroxybenzoic acid alkyl esters
HILIC-neg_Cluster_0847,Tetrahydrofurans
HILIC-neg_Cluster_0870,Coumarins and derivatives
HILIC-neg_Cluster_0874,Proline and derivatives
HILIC-neg_Cluster_0877,#N/A
HILIC-neg_Cluster_0894,Long-chain fatty acids
HILIC-neg_Cluster_0895,#N/A
HILIC-neg_Cluster_0908,#N/A
HILIC-neg_Cluster_0920,#N/A
HILIC-neg_Cluster_0926,#N/A
HILIC-neg_Cluster_0932,#N/A
HILIC-neg_Cluster_0944,#N/A
HILIC-neg_Cluster_0949,Fatty acyl thioesters
HILIC-neg_Cluster_0955,Phenylpropanes
HILIC-neg_Cluster_0965,Lineolic acids and derivatives
HILIC-neg_Cluster_0981,Long-chain fatty acids
HILIC-neg_Cluster_0987,Secondary alcohols
HILIC-neg_Cluster_0996,#N/A
HILIC-neg_Cluster_0998,Stilbenes
HILIC-neg_Cluster_1000,Triacylglycerols
HILIC-neg_Cluster_1010,Flavonoids
HILIC-neg_Cluster_1016,#N/A
HILIC-neg_Cluster_1020,Naphthalenes
HILIC-neg_Cluster_1023,o-Hydroxybenzoic acid esters
HILIC-neg_Cluster_1024,#N/A
HILIC-neg_Cluster_1034,#N/A
HILIC-neg_Cluster_1039,Phenolic glycosides
HILIC-neg_Cluster_1042,#N/A
HILIC-neg_Cluster_1046,Fatty acid esters
HILIC-neg_Cluster_1056,Hexoses
HILIC-neg_Cluster_1065,#N/A
HILIC-neg_Cluster_1069,Macrolides and analogues
HILIC-neg_Cluster_1075,Phenols
HILIC-neg_Cluster_1076,Phenethylamines
HILIC-neg_Cluster_1080,Organonitrogen compounds
HILIC-neg_Cluster_1083,#N/A
HILIC-neg_Cluster_1091,Dipeptides
HILIC-neg_Cluster_1102,#N/A
HILIC-neg_Cluster_1105,Benzopyrazoles
HILIC-neg_Cluster_1110,Long-chain fatty alcohols
HILIC-neg_Cluster_1118,Phenylbenzodioxanes
HILIC-neg_Cluster_1119,Phenylbenzodioxanes
HILIC-neg_Cluster_1121,#N/A
HILIC-neg_Cluster_1123,Biphenols
HILIC-neg_Cluster_1133,Flavonoids
HILIC-neg_Cluster_1136,Long-chain fatty acids
HILIC-neg_Cluster_1146,Coumarins and derivatives
HILIC-neg_Cluster_1155,#N/A
HILIC-neg_Cluster_1158,Alkyl-phenylketones
HILIC-neg_Cluster_1169,O-glycosyl compounds
HILIC-neg_Cluster_1171,#N/A
HILIC-neg_Cluster_1173,Androgens and derivatives
HILIC-neg_Cluster_1175,Fatty acid esters
HILIC-neg_Cluster_1182,Phenolic glycosides
HILIC-neg_Cluster_1186,Dioxanes
HILIC-neg_Cluster_1188,#N/A
HILIC-neg_Cluster_1190,#N/A
HILIC-neg_Cluster_1192,#N/A
HILIC-neg_Cluster_1196,#N/A
HILIC-neg_Cluster_1202,Diterpenoids
HILIC-neg_Cluster_1206,#N/A
HILIC-neg_Cluster_1211,#N/A
HILIC-neg_Cluster_1212,C19-gibberellin 6-carboxylic acids
HILIC-neg_Cluster_1213,Leukotrienes
HILIC-neg_Cluster_1217,Phenols
HILIC-neg_Cluster_1224,#N/A
HILIC-neg_Cluster_1227,Coumarins and derivatives
HILIC-neg_Cluster_1237,Organonitrogen compounds
HILIC-neg_Cluster_1243,Aporphines
HILIC-neg_Cluster_1244,#N/A
HILIC-neg_Cluster_1250,#N/A
HILIC-neg_Cluster_1256,Tertiary alcohols
HILIC-neg_Cluster_1258,#N/A
HILIC-neg_Cluster_1276,Quinic acids and derivatives
HILIC-neg_Cluster_1313,#N/A
HILIC-neg_Cluster_1314,Fatty acyl glycosides of mono- and disaccharides
HILIC-neg_Cluster_1315,O-glycosyl compounds
HILIC-neg_Cluster_1316,Fatty alcohol esters
HILIC-neg_Cluster_1324,Benzoquinolines
HILIC-neg_Cluster_1334,Pyridines and derivatives
HILIC-neg_Cluster_1336,#N/A
HILIC-neg_Cluster_1365,#N/A
HILIC-neg_Cluster_1389,#N/A
HILIC-neg_Cluster_1398,#N/A
HILIC-neg_Cluster_1408,1-acylglycerol-3-phosphates
HILIC-neg_Cluster_1413,#N/A
HILIC-neg_Cluster_1418,Benzopyrans
HILIC-neg_Cluster_1435,"Trihydroxy bile acids, alcohols and derivatives"
HILIC-neg_Cluster_1439,Flavonoid glycosides
HILIC-neg_Cluster_1441,"1-acyl-sn-glycerol-2,3-cyclic-phosphates"
HILIC-neg_Cluster_1446,Acyl carnitines
HILIC-neg_Cluster_1449,1-acyl-sn-glycero-3-phosphoethanolamines
HILIC-neg_Cluster_1467,Vitamin D and derivatives
HILIC-neg_Cluster_1478,#N/A
HILIC-neg_Cluster_1515,#N/A
HILIC-neg_Cluster_1546,#N/A
HILIC-neg_Cluster_1550,Ergosterols and derivatives
HILIC-neg_Cluster_1555,"Tetrahydroxy bile acids, alcohols and derivatives"
HILIC-neg_Cluster_1560,#N/A
HILIC-neg_Cluster_1569,1-monoacylglycerols
HILIC-neg_Cluster_1588,#N/A
HILIC-neg_Cluster_1602,#N/A
HILIC-neg_Cluster_1605,Triterpenoids
HILIC-neg_Cluster_1612,1-acyl-sn-glycero-3-phosphoethanolamines
HILIC-neg_Cluster_1613,#N/A
HILIC-neg_Cluster_1617,#N/A
HILIC-neg_Cluster_1632,#N/A
HILIC-neg_Cluster_1639,#N/A
HILIC-neg_Cluster_1645,Withanolides and derivatives
